番号,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
84,1,1,0,0,0,1,0,0,0,1
85,1,0,0,1,0,1,0,0,0,1
86,0,0,1,0,1,0,1,1,1,1
87,0,0,1,0,1,0,0,1,1,1
88,0,1,1,0,0,0,0,0,1,1
89,0,1,0,1,0,0,1,1,0,1
90,0,1,0,0,0,0,0,0,0,1
91,0,1,0,0,1,0,1,0,1,1
92,1,0,1,0,0,1,1,0,0,1
93,0,0,1,1,1,0,1,0,0,1
94,0,0,1,1,1,1,1,0,1,1
95,1,0,1,1,0,0,0,0,1,1
96,1,1,1,0,0,0,0,1,1,1
97,1,0,0,0,0,0,1,0,1,0
98,0,1,0,1,0,1,0,0,1,0
99,1,0,0,1,0,1,0,1,0,0
100,1,0,0,0,1,0,0,0,1,0
101,0,0,1,0,1,1,1,1,0,0
102,1,1,1,1,1,0,0,0,0,0
103,1,1,0,0,0,0,0,0,1,0
104,0,0,1,0,0,0,0,0,1,1
105,1,0,1,0,0,0,1,0,0,0
106,0,1,0,1,0,0,0,0,0,0
107,1,0,0,0,1,0,0,0,0,0
108,0,0,1,1,1,0,0,0,1,0
109,1,1,1,1,1,0,0,0,0,1
110,0,1,0,0,1,1,0,0,0,1
111,0,0,0,0,1,0,0,0,0,1
112,0,0,0,0,1,1,0,0,1,0
113,0,0,0,0,1,0,1,0,1,0
114,1,0,0,1,1,0,1,1,1,1
115,0,0,0,1,1,0,0,1,1,0
116,1,0,0,0,1,1,1,0,1,1
117,1,1,1,1,0,0,1,1,0,0
118,1,1,0,0,1,0,0,0,1,0
119,0,1,0,0,1,0,1,0,1,0
120,1,0,1,1,1,1,1,1,0,0
121,0,1,1,0,1,1,0,1,1,0
122,1,1,1,1,1,1,1,1,0,0
123,1,0,1,1,0,1,1,1,1,0
124,0,1,0,0,1,1,1,0,0,1
125,1,1,0,0,0,0,1,1,0,0
126,1,1,1,1,0,1,1,0,1,1
127,0,1,0,1,1,1,1,1,1,1
128,1,1,1,1,0,0,1,0,0,1
129,0,1,1,1,0,0,0,0,1,0
130,0,1,0,1,1,1,1,1,0,0
131,0,0,1,1,0,0,0,0,1,0
132,1,1,1,0,1,1,0,0,0,0
133,1,1,0,0,0,0,1,1,1,0
134,1,1,0,0,0,1,0,1,1,1
135,1,0,0,1,1,1,0,1,1,1
136,0,1,1,1,0,0,1,1,1,1
137,0,0,1,0,0,1,1,0,1,0
138,1,1,0,0,1,0,0,1,0,0
139,0,1,1,0,0,1,1,0,0,0
140,0,1,1,1,1,0,1,1,1,1
141,0,0,1,0,1,0,1,1,1,0
142,1,1,0,1,0,1,0,0,1,0
143,0,1,0,1,0,1,0,0,1,0
144,1,1,1,1,0,0,0,1,1,1
145,1,0,1,1,1,0,1,0,0,0
146,1,1,1,0,1,0,1,1,0,0
147,0,0,0,0,1,0,0,1,1,0
148,1,1,0,0,0,0,1,1,0,1
149,1,1,0,1,1,0,0,1,0,1
150,0,0,0,0,1,1,0,0,0,1
151,1,1,0,0,1,0,1,1,0,1
152,0,1,1,0,1,1,1,1,0,0
153,1,0,1,0,1,1,0,0,1,0
154,1,0,1,1,1,0,0,1,1,0
155,0,0,0,0,1,0,0,1,0,0
156,1,0,1,0,1,0,0,1,1,1
157,0,1,0,0,0,1,0,0,1,1
158,1,0,0,1,0,0,1,0,1,0
159,1,1,1,1,1,0,0,0,1,0
160,1,0,1,1,0,0,0,1,0,1
161,1,0,0,1,1,1,0,0,1,1
162,1,0,0,0,1,0,1,0,0,1
163,0,0,1,0,1,1,1,1,1,1
164,1,1,1,0,0,0,0,0,1,0
165,0,1,0,1,1,1,1,0,0,1
166,1,0,0,1,1,1,0,0,0,1
167,1,0,0,0,1,1,1,0,0,1
168,1,0,1,0,0,1,0,1,0,0
169,0,0,0,1,1,1,1,1,0,1
170,1,0,0,0,1,0,0,0,0,0
171,0,0,1,1,1,1,0,0,0,0
172,1,0,1,1,0,1,0,1,0,1
173,0,1,1,1,1,0,0,1,0,1
174,1,1,0,1,0,1,0,0,0,0
175,0,0,0,0,0,1,1,0,0,1
176,0,1,1,1,0,1,1,0,0,0
177,1,1,0,1,0,1,1,0,0,1
178,1,0,1,0,0,0,0,0,1,1
179,1,1,1,0,1,0,0,1,0,1
180,1,1,0,0,0,0,0,0,1,1
181,1,0,1,0,1,1,1,1,1,1
182,1,0,1,0,1,1,0,0,1,1
183,0,1,1,0,1,1,0,0,0,1
184,0,1,0,1,0,1,0,0,0,0
185,0,0,0,0,0,0,0,1,1,1
186,0,1,0,0,0,1,1,0,1,1
187,1,1,1,0,0,0,0,0,1,0
188,0,1,0,0,1,1,0,0,0,1
189,1,1,1,0,0,0,1,1,1,0
190,1,0,1,0,0,0,0,1,0,1
191,0,0,0,0,0,1,0,0,0,1
192,1,1,0,0,1,1,1,0,0,0
193,0,1,0,1,0,0,1,0,0,0
194,0,0,1,0,1,1,0,0,0,1
195,0,0,0,1,1,0,1,1,1,0
196,0,1,1,0,1,1,0,1,0,0
197,0,0,1,0,1,1,1,1,0,1
198,0,0,1,1,0,0,1,0,0,0
199,0,1,0,1,1,1,1,0,0,1
200,1,0,0,1,1,1,1,1,1,1
