番号,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
145,1,1,1,0,0,0,1,1,0,0
146,0,0,1,0,1,0,1,1,0,1
147,1,1,0,1,1,1,0,1,0,0
148,1,1,1,0,1,0,1,1,0,1
149,1,1,0,0,1,1,1,0,1,1
150,1,0,0,1,0,0,0,1,0,0
151,1,0,0,1,0,0,0,1,0,0
152,0,0,0,0,1,0,1,1,0,1
153,0,1,0,0,1,1,0,1,0,1
154,1,1,0,1,1,1,0,1,0,0
155,1,1,0,0,0,1,0,0,1,1
156,0,0,1,0,0,0,0,1,0,0
157,0,1,0,0,1,0,1,0,0,1
158,0,0,1,0,1,0,0,0,0,1
159,0,1,1,1,0,0,0,0,0,1
160,0,1,1,1,0,0,0,1,1,0
161,0,1,1,0,1,1,1,1,1,0
162,1,1,1,0,1,0,0,1,0,1
163,0,1,0,0,0,1,1,0,1,1
164,1,1,1,1,0,0,1,0,1,0
165,0,0,1,1,0,0,0,1,1,0
166,0,1,1,1,0,1,1,0,0,0
167,0,0,1,0,1,1,0,0,1,1
168,1,0,0,1,1,0,1,1,0,1
169,1,0,1,0,0,1,1,1,0,1
170,1,0,1,0,1,1,0,1,1,1
171,1,1,1,1,0,1,0,1,1,1
172,1,0,0,1,1,0,0,0,1,1
173,1,0,0,0,1,1,0,1,1,1
174,0,0,0,1,0,1,1,1,0,1
175,1,0,0,0,1,0,1,0,0,1
176,1,1,0,0,0,1,1,0,1,1
177,1,1,1,0,0,0,0,1,1,0
178,1,0,0,0,1,0,0,1,1,1
179,1,1,1,0,1,1,1,0,0,0
180,1,1,0,1,1,0,1,0,0,1
181,1,0,0,0,1,0,0,1,1,1
182,0,0,1,1,0,0,1,1,0,1
183,1,0,1,0,1,1,0,1,0,1
184,0,1,0,1,1,0,0,0,1,0
185,1,1,1,1,0,0,0,0,1,0
186,1,1,0,1,0,0,0,1,1,1
187,0,0,1,0,0,1,0,1,0,1
188,0,1,0,0,1,1,1,0,0,0
189,0,0,0,0,1,1,0,0,0,0
190,0,1,0,0,1,1,1,1,1,1
191,0,1,0,1,1,0,0,0,0,0
192,1,1,0,1,0,1,0,0,0,1
193,1,0,0,1,1,0,1,1,0,0
194,1,1,1,1,1,0,1,1,1,0
195,0,1,1,0,1,0,1,1,1,0
196,1,0,0,0,1,1,0,0,1,1
197,0,1,0,1,1,1,0,1,1,0
198,0,0,0,1,1,1,0,0,1,0
199,0,1,1,0,1,0,1,1,0,0
200,1,1,0,1,1,0,0,1,0,0
